img 2, size: 587
img 3, size: 1957
img 4, size: 77
img 5, size: 118
img 6, size: 358
img 7, size: 7
img 8, size: 68
img 9, size: 33
img 10, size: 354
img 11, size: 150
img 12, size: 41
img 13, size: 84
img 14, size: 87
img 15, size: 130
img 16, size: 0
img 17, size: 98
img 18, size: 444
img 19, size: 151
img 20, size: 133
img 21, size: 302
img 22, size: 69
img 23, size: 392
img 24, size: 124
img 25, size: 245
img 26, size: 117
img 27, size: 4
img 28, size: 286
img 29, size: 54
img 30, size: 10
img 31, size: 362
img 32, size: 87
img 33, size: 155
img 34, size: 3
img 35, size: 431
img 36, size: 221
img 37, size: 199
img 38, size: 22
img 39, size: 121
img 40, size: 184
img 41, size: 337
img 42, size: 11
img 43, size: 0
img 44, size: 443
img 45, size: 575
img 46, size: 207
img 47, size: 110
img 48, size: 470
img 49, size: 257
img 50, size: 71
img 51, size: 85
img 52, size: 159
img 53, size: 955
img 54, size: 356
img 55, size: 65
img 56, size: 84
img 57, size: 182
img 58, size: 131
img 59, size: 8
img 60, size: 62
img 61, size: 22
img 62, size: 373
img 63, size: 94
img 64, size: 70
img 65, size: 16
img 66, size: 20
img 67, size: 45
img 68, size: 35
img 69, size: 453
img 70, size: 297
img 71, size: 436
img 72, size: 39
img 73, size: 121
img 74, size: 61
img 75, size: 415
img 76, size: 358
img 77, size: 1236
img 78, size: 18
img 79, size: 1078
img 80, size: 1885
img 81, size: 501
img 82, size: 521
img 83, size: 311
img 84, size: 82
img 85, size: 329
img 86, size: 1002
img 87, size: 2579
img 88, size: 5405
img 89, size: 136
img 90, size: 133
img 91, size: 135
img 92, size: 553
